,surveyyr,sex,yrborn,marstat,edyrs,usyr1,usdur1,usdoc1,usstate1,usyrl,usdurl,usdocl,usstatel,ustrips,usexp
1,1987,1,1954,2,6,1982,9999,8,129,1982,9999,8,129,1,9999
2,1987,1,1958,2,6,1982,72,8,129,1982,72,8,129,1,72
3,1987,1,1968,1,6,1988,9999,8,129,1988,9999,8,129,1,9999
4,1987,1,1942,2,0,1977,12,9999,105,1977,12,9999,105,1,12
5,1987,2,1956,2,2,1986,23,8,129,1986,23,9999,129,1,23
6,1987,1,1962,1,7,1986,24,8,129,1986,24,8,129,1,24
7,1987,2,1964,2,4,1985,36,5,105,1985,36,5,105,1,36
8,1987,1,1933,2,0,1952,12,2,103,1954,3,8,105,2,15
9,1987,1,1955,2,6,1975,2,8,105,1975,2,8,105,1,2
10,1987,1,1957,1,6,1981,84,8,105,1981,84,8,105,1,84
11,1987,1,1965,2,8,1987,6,8,199,1987,6,8,199,1,6
12,1987,1,1943,2,4,1962,2,2,105,1962,2,2,105,1,2
13,1987,1,1969,1,8,1988,1,8,105,1988,1,8,105,1,1
14,1987,1,1938,2,3,1972,12,8,114,1973,6,8,114,2,18
15,1987,1,1969,1,6,1987,6,8,114,1987,6,8,114,1,6
16,1987,1,1928,2,3,1958,12,2,105,1966,12,8,105,2,24
17,1987,2,1959,2,6,1983,60,8,105,1983,60,8,105,1,60
18,1987,1,1955,1,5,1979,108,8,105,1979,108,8,105,1,108
19,1987,1,1966,1,6,1984,48,8,105,1984,48,8,105,1,48
20,1987,1,1968,1,6,1985,7,8,105,1985,7,8,105,1,7
21,1987,1,1964,2,9,1988,2,8,105,1988,2,8,105,1,2
22,1987,1,1950,1,6,1980,36,8,105,1984,48,8,114,2,84
23,1987,2,1930,2,0,1986,2,8,105,1986,2,8,105,1,2
24,1987,1,1946,2,6,1962,6,8,106,1986,6,5,199,3,18
25,1987,1,1956,2,6,1978,12,8,105,1978,12,8,105,1,12
26,1987,1,1935,2,3,1963,3,8,105,1987,12,8,105,2,15
27,1987,1,1954,2,6,9999,9999,9999,105,1987,9999,9999,199,9999,9999
28,1987,1,1955,2,6,9999,9999,9999,105,1987,9999,9999,199,9999,9999
29,1987,2,1960,2,6,1983,9999,9999,105,1984,9999,9999,199,9999,9999
30,1987,1,1957,2,6,1976,36,8,114,1981,24,8,114,2,60
31,1987,2,1956,2,6,1979,24,8,105,1981,24,8,114,2,48
32,1987,1,1932,2,0,1954,3,2,105,1960,36,2,105,2,39
33,1987,1,1958,2,6,1978,24,8,129,1978,24,8,129,1,24
34,1987,1,1965,1,6,1985,35,8,105,1985,35,8,105,1,35
35,1987,1,1960,2,3,1981,12,8,105,1987,6,8,105,2,18
36,1987,1,1966,3,6,1983,36,8,105,1986,9999,8,105,2,9999
37,1987,1,1968,1,6,1985,9999,8,114,1986,9999,9999,114,2,9999
38,1987,1,1967,1,10,1987,9999,8,105,1987,9999,8,105,1,9999
39,1987,1,1950,2,6,1970,216,8,105,1970,216,8,105,1,216
40,1987,1,1952,2,6,1972,192,8,105,1972,192,8,105,1,192
41,1987,1,1958,2,6,1982,6,8,105,1987,3,8,129,2,9
42,1987,1,1928,2,1,1954,24,2,129,1957,36,8,129,2,60
43,1987,1,1957,2,2,1980,12,8,105,1980,12,8,105,1,12
44,1987,1,1957,2,4,1980,6,8,105,1980,6,8,105,1,6
45,1987,1,1963,1,5,1980,50,8,114,1986,24,8,114,2,74
46,1987,2,1918,4,0,1920,24,1,126,1920,24,1,126,1,24
47,1987,1,1921,2,0,1944,24,2,105,1944,24,2,105,1,24
48,1987,2,1925,2,2,1974,1,8,144,1974,1,8,144,1,1
49,1987,2,1952,2,9,1973,12,8,144,1973,12,8,144,1,12
50,1987,1,1928,2,0,1968,240,1,199,1968,240,1,199,1,240
51,1987,1,1960,2,6,1987,6,8,105,1987,6,8,105,1,6
52,1987,1,1962,2,6,1979,24,8,105,1981,84,8,105,2,108
53,1987,1,1913,2,0,1945,12,2,103,1945,12,2,103,1,12
54,1987,1,1914,2,0,1943,6,2,105,1956,6,2,104,2,12
55,1987,1,1955,2,3,1976,7,8,105,1986,8,8,105,2,15
56,1987,1,1917,2,4,1975,156,8,114,1975,156,8,114,1,156
57,1987,1,1948,2,6,1987,6,1,129,1987,6,1,129,1,6
58,1987,2,1953,2,6,1973,168,1,114,1973,168,1,114,1,168
59,1987,2,1958,2,6,1977,120,1,114,1977,120,1,114,1,120
60,1987,1,1932,2,6,1948,6,2,105,1977,6,8,106,2,12
61,1987,1,1952,1,4,1983,48,8,129,1983,48,8,129,1,48
62,1987,1,1929,2,2,1946,36,8,105,1975,12,8,105,2,48
63,1987,1,1945,3,6,1978,6,8,105,1978,6,8,105,1,6
64,1987,1,1947,1,3,1979,96,8,105,1979,96,8,105,1,96
65,1987,1,1957,2,6,1975,18,8,199,1979,6,8,144,2,24
66,1987,1,1929,2,4,1950,4,8,105,1978,6,8,105,2,10
67,1987,1,1946,2,4,1981,36,8,105,1981,36,8,105,1,36
68,1987,1,1950,1,4,1981,36,8,105,1981,36,8,105,1,36
69,1987,1,1955,2,4,1981,36,8,105,1981,36,8,105,1,36
